mean_interarrival,mean_machine_time_1,mean_machine_time_2,max_queue_1,max_queue_2,time_units,std_machine_1
60.0, 25.0, 59, 9223372036854775807,4, "minutes", 7.185832891717325
60.0, 25.0, 55, 9223372036854775807,4, "minutes", 0.0
60.0, 25.0, 50, 9223372036854775807,4, "minutes", 0.0
60.0, 25.0, 45, 9223372036854775807,4, "minutes", 0.0
60.0, 25.0, 40, 9223372036854775807,4, "minutes", 0.0
60.0, 25.0, 35, 9223372036854775807,4, "minutes", 0.0
60.0, 25.0, 29.5, 9223372036854775807,4, "minutes", 0.0
60.0, 25.0, 59, 9223372036854775807,5, "minutes", 0.0
60.0, 25.0, 59, 9223372036854775807,7, "minutes", 0.0
60.0, 25.0, 59, 9223372036854775807,11, "minutes", 0.0
60.0, 25.0, 59, 9223372036854775807,19, "minutes", 0.0
60.0, 23.0, 59, 9223372036854775807,4, "minutes", 0.0
60.0, 21.0, 59, 9223372036854775807,4, "minutes", 0.0
60.0, 19.0, 59, 9223372036854775807,4, "minutes", 0.0
60.0, 17.0, 59, 9223372036854775807,4, "minutes", 0.0
60.0, 12.5, 59, 9223372036854775807,4, "minutes", 0.0

