# file created by code in factory_simulation_2.jl
# file created on 2023-11-11 at 23:55:26
# parameter: seed = 1
# parameter: T = 10000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
# parameter: std_machine_1 = 7.185832891717325
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      25.708,     3,Finish(1),before,   1,   0,   0,   1,   0
      25.708,     3,Finish(1), after,   2,   0,   0,   0,   1
      40.499,     2,  Arrival,before,   1,   0,   0,   0,   1
      40.499,     2,  Arrival, after,   3,   0,   0,   1,   1
      51.028,     7,Finish(1),before,   2,   0,   0,   1,   1
      51.028,     7,Finish(1), after,   2,   0,   1,   0,   1
      90.157,     5,Finish(2),before,   1,   0,   1,   0,   1
      90.157,     5,Finish(2), after,   2,   0,   0,   0,   1
     106.251,     6,  Arrival,before,   1,   0,   0,   0,   1
     106.251,     6,  Arrival, after,   3,   0,   0,   1,   1
     115.831,    10,Finish(2),before,   2,   0,   0,   1,   1
     115.831,    10,Finish(2), after,   2,   0,   0,   1,   0
     136.106,    12,Finish(1),before,   1,   0,   0,   1,   0
     136.106,    12,Finish(1), after,   2,   0,   0,   0,   1
     137.593,    15,Finish(2),before,   1,   0,   0,   0,   1
     137.593,    15,Finish(2), after,   1,   0,   0,   0,   0
     275.494,    11,  Arrival,before,   0,   0,   0,   0,   0
     275.494,    11,  Arrival, after,   2,   0,   0,   1,   0
     289.711,    18,Finish(1),before,   1,   0,   0,   1,   0
     289.711,    18,Finish(1), after,   2,   0,   0,   0,   1
     296.814,    17,  Arrival,before,   1,   0,   0,   0,   1
     296.814,    17,  Arrival, after,   3,   0,   0,   1,   1
     310.147,    20,Finish(2),before,   2,   0,   0,   1,   1
     310.147,    20,Finish(2), after,   2,   0,   0,   1,   0
     319.391,    22,Finish(1),before,   1,   0,   0,   1,   0
     319.391,    22,Finish(1), after,   2,   0,   0,   0,   1
     320.305,    25,Finish(2),before,   1,   0,   0,   0,   1
     320.305,    25,Finish(2), after,   1,   0,   0,   0,   0
     425.133,    21,  Arrival,before,   0,   0,   0,   0,   0
     425.133,    21,  Arrival, after,   2,   0,   0,   1,   0
     454.130,    28,Finish(1),before,   1,   0,   0,   1,   0
